order_id,customer_id,product_id,supplier_id,warehouse_id,quantity,order_date
77,812,51,38,4,6,2025-09-01
78,426,286,32,10,7,2025-01-19
79,90,400,93,1,4,2025-04-25
80,109,370,81,10,2,2025-04-16
81,1638,382,9,4,10,2025-05-22
82,4304,429,30,10,2,2025-05-07
83,4208,236,28,4,3,2025-08-11
84,4445,338,35,20,8,2025-08-11
85,267,498,88,18,8,2025-12-12
86,1106,169,52,15,1,2025-03-25
87,4345,288,36,17,7,2025-03-09
88,1292,392,70,18,2,2025-01-10
89,4441,45,38,16,3,2025-02-13
90,125,359,84,10,10,2025-08-26
91,90,123,12,13,10,2025-11-14
92,485,132,24,14,6,2025-04-20
93,3481,57,7,17,6,2025-03-11
94,2348,411,81,10,10,2025-10-10
95,1075,369,36,3,3,2025-05-31
96,2850,314,86,16,7,2025-09-01
97,11,158,41,18,7,2025-08-23
98,92,381,80,10,2,2025-09-03
99,3468,495,25,15,4,2025-06-01
100,32,27,82,18,7,2025-01-29
101,283,201,40,10,7,2025-06-29
102,2798,138,31,18,3,2025-11-21
103,67,206,60,9,4,2025-05-15
104,1233,85,43,19,5,2025-02-13
105,1520,453,79,15,2,2025-06-30
106,4264,251,9,17,4,2025-06-12
107,4328,355,94,11,5,2025-09-30
108,4869,262,31,14,1,2025-03-09
109,3869,215,59,8,1,2025-04-07
110,1755,436,65,15,3,2025-09-29
111,1698,402,34,15,8,2025-08-21
112,3197,497,98,8,4,2025-12-06
113,4143,359,1,10,1,2025-08-31
114,166,82,15,19,9,2025-10-29
115,127,157,10,7,4,2025-11-10
116,2931,147,37,16,9,2025-10-01
117,329,484,6,20,7,2025-08-30
118,2805,453,7,17,4,2025-03-02
119,4327,180,26,15,7,2025-02-25
120,921,97,12,14,2,2025-11-28
121,2310,168,29,3,3,2025-08-10
122,3992,240,96,7,9,2025-12-18
123,3723,385,52,9,3,2025-04-14
124,1732,392,6,19,3,2025-06-10
125,3309,372,37,17,8,2025-04-14
126,3784,257,67,13,7,2025-06-04
127,3209,429,26,7,1,2025-01-08
128,3258,299,3,1,3,2025-08-21
129,3548,453,69,16,4,2025-11-20
130,4956,330,2,11,8,2025-10-20
131,2415,387,34,5,5,2025-06-02
132,1013,421,62,12,4,2025-08-22
133,3948,442,89,3,8,2025-01-13
134,2604,327,100,19,10,2025-11-04
135,1068,189,64,5,10,2025-01-25
136,3711,388,99,14,5,2025-05-05
137,654,60,13,11,7,2025-08-29
138,4051,315,83,12,3,2025-06-21
139,3422,132,74,14,5,2025-04-15
140,3638,23,85,13,6,2025-02-16
141,1567,146,95,13,4,2025-04-18
142,2966,215,70,11,8,2025-11-18
143,1717,253,49,3,3,2025-06-20
144,3546,459,98,17,8,2025-05-16
145,1201,6,14,3,4,2025-11-30
146,827,419,34,15,3,2025-09-23
147,3205,498,2,14,10,2025-03-12
148,2025,307,19,12,1,2025-11-18
149,1681,162,66,2,10,2025-02-21
150,597,87,8,10,3,2025-01-14
151,307,242,62,3,1,2025-02-17
152,4204,145,47,12,10,2025-06-12
153,4217,253,70,2,5,2025-12-26
154,2557,183,11,3,2,2025-04-02
155,4216,256,37,5,1,2025-07-20
156,2211,373,33,20,10,2025-03-22
157,4921,94,16,16,3,2025-02-01
158,1929,162,39,2,7,2025-12-30
159,2422,134,89,17,10,2025-03-13
160,4878,87,46,16,4,2025-07-14
161,4272,153,59,4,5,2025-10-25
162,79,322,81,19,9,2025-04-07
163,7,313,45,7,6,2025-08-21
164,4807,185,32,6,5,2025-07-28
165,4738,51,20,7,6,2025-05-11
166,1333,84,98,10,10,2025-05-22
167,181,486,6,1,2,2025-12-22
168,359,412,1,8,6,2025-11-09
169,917,66,93,18,10,2025-10-19
170,39,428,11,9,4,2025-09-01
171,1402,400,33,12,6,2025-01-13
172,2802,409,22,20,6,2025-10-30
173,889,310,38,17,7,2025-09-14
174,2265,206,15,5,1,2025-07-23
175,162,274,57,14,8,2025-10-02
176,3059,337,63,17,5,2025-12-14
177,4733,313,3,11,9,2025-02-18
178,3158,250,73,5,9,2025-05-19
179,3095,218,54,10,7,2025-04-22
180,3576,97,40,17,8,2025-05-21
181,2455,240,54,20,9,2025-11-26
182,1804,358,89,16,9,2025-06-04
183,2862,100,1,20,1,2025-06-06
184,4124,181,81,17,1,2025-06-06
185,711,420,65,10,8,2025-07-13
186,3290,465,4,11,4,2025-01-29
187,1868,16,7,13,10,2025-11-28
188,2559,141,14,20,4,2025-01-18
189,1188,178,74,12,5,2025-04-27
190,2067,249,85,13,3,2025-09-01
191,4440,162,58,6,10,2025-02-25
192,1671,391,16,1,7,2025-09-18
193,1386,371,100,4,7,2026-01-01
194,4400,420,5,6,7,2025-06-08
195,235,186,45,2,1,2025-06-23
196,4976,414,87,4,2,2025-07-27
197,195,335,28,9,4,2025-02-24
198,3792,396,34,18,2,2025-07-21
199,3121,225,11,7,5,2025-12-22
200,1860,231,53,1,9,2025-01-17
201,797,459,23,15,10,2025-12-17
202,4939,161,75,15,4,2025-12-06
203,1963,173,32,1,2,2025-03-16
204,1972,65,60,12,2,2025-06-14
205,1,264,2,15,2,2025-01-08
206,69,77,51,18,10,2025-08-16
207,2728,188,8,4,4,2025-03-27
208,4066,487,51,15,2,2025-04-12
209,1272,352,20,19,10,2025-12-23
210,1858,396,56,15,9,2025-10-15
211,4631,108,5,13,7,2025-10-14
212,491,30,79,15,1,2025-11-20
213,758,468,82,5,3,2025-12-04
214,3882,438,12,12,10,2025-01-12
215,237,69,42,18,8,2025-05-07
216,3798,222,48,4,9,2025-08-15
217,3873,461,100,9,4,2025-12-18
218,1603,459,49,13,4,2025-10-03
219,4150,220,90,9,9,2025-04-24
220,4525,294,30,2,8,2025-12-04
221,3865,154,46,20,9,2025-06-11
222,970,150,26,15,4,2025-02-27
223,646,165,84,8,6,2025-01-26
224,591,94,87,1,4,2025-04-06
225,4801,453,89,10,2,2025-06-17
226,4141,31,93,18,7,2025-06-16
227,4094,207,43,10,10,2025-05-09
228,3453,84,69,10,7,2025-12-04
229,1768,264,29,20,2,2025-05-11
230,251,446,85,17,3,2025-03-13
231,2948,20,21,6,7,2025-06-30
232,1696,393,48,4,5,2025-08-13
233,2030,293,72,3,4,2025-01-28
234,3855,343,7,17,2,2025-09-15
235,3083,404,47,3,4,2025-01-24
236,1907,13,37,5,6,2025-04-23
237,1963,337,1,20,8,2025-05-10
238,2572,44,16,1,7,2025-10-16
239,3159,136,84,19,6,2025-09-15
240,3010,205,91,14,4,2025-10-12
241,2804,99,87,1,2,2025-06-21
242,307,305,82,10,3,2025-09-09
243,3307,246,68,20,10,2025-08-06
244,2839,147,35,3,4,2025-04-19
245,2272,166,79,8,7,2025-08-12
246,1338,33,7,20,8,2025-11-26
247,4847,430,30,20,3,2025-12-12
248,4291,420,78,8,7,2025-10-14
249,2294,444,3,8,9,2025-03-26
250,4903,372,99,19,6,2025-05-12
251,3208,390,38,18,8,2025-02-19
252,1212,320,63,6,3,2025-08-20
253,4491,289,39,4,8,2025-12-31
254,3424,116,45,20,1,2025-03-10
255,1997,88,64,18,9,2025-01-31
256,3804,156,15,16,4,2025-08-26
257,1091,182,64,9,4,2025-10-16
258,3011,442,86,12,7,2025-01-13
259,3518,401,67,14,8,2025-03-16
260,3293,266,95,13,10,2025-08-14
261,3460,7,35,18,6,2025-05-31
262,4506,184,62,17,4,2025-09-02
263,3134,484,66,10,2,2025-01-11
264,4467,263,19,5,7,2025-10-31
265,4599,231,56,20,9,2025-11-10
266,984,87,31,14,3,2025-04-11
267,1763,282,70,9,7,2025-10-20
268,4740,478,79,15,7,2025-06-05
269,4434,39,81,6,8,2025-02-10
270,2208,40,33,2,8,2025-04-09
271,75,470,80,5,6,2025-03-08
272,1864,175,42,15,7,2025-03-13
273,585,305,14,10,3,2025-07-13
274,798,425,36,13,5,2025-07-01
275,1456,317,2,18,5,2025-03-26
276,3722,48,25,7,8,2025-03-05
277,1448,430,74,15,2,2025-09-13
278,426,470,55,18,1,2025-01-24
279,98,9,86,9,7,2025-01-03
280,1436,196,67,3,5,2025-07-20
281,2299,184,88,17,6,2025-11-19
282,4433,111,87,4,6,2025-11-20
283,283,226,12,2,10,2025-12-22
284,2226,113,7,20,4,2025-02-22
285,4491,204,71,8,9,2025-01-28
286,1626,492,25,10,2,2025-09-20
287,4991,322,81,1,7,2025-01-08
288,3802,433,22,6,6,2025-10-21
289,4085,169,99,3,9,2025-04-22
290,2375,86,8,3,4,2025-05-31
291,2881,161,56,14,4,2025-08-22
292,3339,45,87,17,4,2025-11-18
293,3922,424,4,10,6,2025-01-29
294,4588,211,35,2,3,2025-03-07
295,3432,112,60,1,6,2025-12-04
296,2871,343,32,16,3,2025-01-09
297,970,392,84,11,8,2025-02-10
298,3783,92,13,19,4,2025-04-28
299,3723,444,28,16,6,2025-10-31
300,336,113,79,2,5,2025-04-25
301,2167,231,92,13,9,2025-08-27
302,1013,50,46,2,2,2025-07-01
303,3193,490,60,13,6,2025-07-29
304,3062,274,91,7,7,2025-05-29
305,731,171,82,5,4,2025-12-21
306,627,355,81,15,2,2025-09-22
307,2398,77,28,16,1,2025-04-05
308,3769,92,23,7,4,2025-11-29
309,4863,17,42,9,3,2025-02-10
310,272,153,31,20,7,2025-03-05
311,204,236,73,17,5,2025-08-18
312,3034,283,71,14,8,2025-10-22
313,441,291,57,1,10,2025-12-27
314,3688,270,16,8,10,2025-02-26
315,4871,225,31,9,4,2025-06-22
316,1401,172,87,20,4,2025-03-22
317,2513,194,49,10,3,2025-11-02
318,4941,483,35,4,1,2025-09-14
319,885,126,46,12,3,2025-06-05
320,145,330,34,20,4,2025-04-02
321,4123,55,88,7,2,2025-02-02
322,115,81,8,10,8,2025-10-14
323,1385,120,100,3,1,2025-02-03
324,4709,286,3,11,8,2025-11-11
325,1367,324,26,3,1,2025-05-30
326,336,283,68,20,3,2025-04-27
327,1846,161,2,18,4,2025-07-05
328,3368,119,79,7,3,2025-12-28
329,3598,261,53,16,4,2025-08-27
330,2160,414,73,5,1,2025-05-20
331,3758,4,49,2,4,2025-05-15
332,1572,389,40,3,7,2025-09-12
333,668,391,56,7,7,2025-07-10
334,2150,1,51,15,9,2025-10-13
335,2411,418,68,7,5,2025-07-14
336,2630,389,69,16,6,2025-11-21
337,3973,442,35,11,8,2025-07-07
338,4424,309,18,13,1,2025-02-23
339,4525,410,55,11,6,2025-07-08
340,4576,193,46,8,1,2025-09-03
341,3883,383,4,7,5,2025-01-09
342,1646,216,9,15,9,2025-01-21
343,944,90,84,8,8,2025-07-27
344,1062,498,38,8,6,2025-06-28
345,748,249,84,14,5,2025-10-27
346,3218,50,11,5,9,2025-07-25
347,359,485,89,9,2,2025-03-06
348,2134,480,15,20,1,2025-08-13
349,2702,338,79,5,8,2025-12-25
350,1256,121,64,9,3,2025-11-19
351,1386,268,48,5,7,2025-05-09
352,3813,185,57,3,2,2025-08-10
353,3305,21,42,8,8,2025-09-10
354,1835,123,70,7,6,2025-03-21
355,2929,433,49,18,5,2025-06-06
356,3606,393,16,11,5,2025-04-23
357,2585,431,62,14,8,2025-09-15
358,1406,185,56,2,9,2025-01-05
359,3920,196,91,7,10,2025-07-28
360,181,373,30,16,9,2025-02-27
361,2582,271,11,18,6,2025-07-24
362,276,464,39,5,1,2025-01-11
363,3294,148,87,6,5,2025-11-15
364,2337,228,29,14,1,2025-04-13
365,4370,159,65,17,10,2025-11-14
366,2980,409,29,8,10,2025-07-11
367,2894,338,15,12,10,2025-02-14
368,3103,143,12,9,5,2025-08-09
369,3321,20,98,16,10,2025-10-29
370,4000,387,59,1,3,2025-07-11
371,3727,430,89,6,7,2025-12-19
372,1789,99,45,12,3,2025-08-14
373,4399,405,42,1,7,2025-01-05
374,4933,429,50,7,1,2025-06-27
375,558,421,12,15,3,2025-12-05
376,1831,50,81,18,3,2025-07-28
377,3995,395,81,18,9,2025-09-06
378,4206,452,5,5,7,2025-04-02
379,4008,428,99,16,8,2025-02-06
380,286,105,58,9,3,2025-01-27
381,1577,7,65,10,7,2025-02-02
382,1087,49,99,18,9,2025-06-06
383,2102,279,79,17,2,2025-07-24
384,4311,495,58,20,3,2025-08-02
385,2022,13,40,4,8,2025-03-03
386,4406,115,80,4,10,2025-09-04
387,2244,33,35,5,6,2025-08-08
388,4123,236,2,3,9,2025-08-26
389,1672,321,20,17,10,2025-08-09
390,2498,83,81,18,10,2025-04-19
391,3604,379,78,3,8,2025-01-03
392,42,188,74,2,7,2025-09-15
393,3702,86,91,5,7,2025-07-02
394,4111,333,40,11,5,2025-05-25
395,4724,422,75,8,9,2025-09-12
396,3599,95,86,11,10,2025-07-30
397,4998,472,16,14,8,2025-10-21
398,3938,278,26,8,3,2025-12-29
399,4014,436,98,8,5,2025-04-16
400,2982,314,4,18,2,2025-06-11
401,2586,427,32,20,3,2025-04-08
402,2605,92,84,6,8,2025-03-30
403,4760,397,29,16,7,2025-02-10
404,1974,294,18,18,6,2025-08-28
405,1112,265,55,1,5,2025-10-29
406,1993,317,20,5,7,2025-02-07
407,1339,456,9,1,3,2025-08-10
408,4236,86,37,9,3,2025-08-14
409,4422,56,73,20,10,2025-10-13
410,2276,341,88,5,2,2025-08-01
411,779,1,9,15,5,2025-10-03
412,2205,329,40,4,9,2025-10-26
413,3600,427,43,2,1,2025-03-15
414,240,133,97,3,7,2025-09-05
415,1407,433,88,1,3,2025-02-10
416,680,325,77,4,5,2025-01-14
417,4870,158,25,4,1,2025-10-30
418,796,102,83,8,3,2025-12-05
419,646,243,34,4,2,2025-07-12
420,3706,431,4,6,7,2025-04-22
421,4231,394,75,16,6,2025-03-11
422,4914,201,48,6,6,2025-04-19
423,4850,477,74,4,5,2025-03-21
424,602,467,85,20,6,2025-12-10
425,1542,220,15,17,3,2025-12-18
426,3014,491,13,7,4,2025-09-20
427,2595,456,53,1,2,2025-03-12
428,1325,464,50,14,7,2025-06-16
429,1324,130,12,8,8,2025-01-15
430,1119,383,54,13,1,2025-04-09
431,2662,371,55,5,2,2025-12-25
432,2419,408,54,20,7,2025-06-26
433,4800,260,90,17,10,2025-11-08
434,4441,404,2,15,6,2025-10-20
435,3592,28,60,1,2,2025-07-19
436,1188,192,2,9,3,2025-11-15
437,1790,153,33,7,6,2025-12-06
438,1756,74,82,12,1,2025-07-20
439,2700,343,55,19,7,2025-11-21
440,2438,458,97,9,2,2025-02-11
441,1844,230,11,2,5,2025-09-28
442,3895,482,12,8,3,2025-06-20
443,2115,55,78,4,6,2025-01-12
444,1057,468,13,6,3,2025-02-22
445,2953,404,37,5,6,2025-06-10
446,3896,428,48,5,6,2025-05-20
447,553,42,67,2,3,2025-11-13
448,951,238,20,20,5,2025-04-29
449,479,317,33,3,3,2025-03-22
450,2231,25,65,11,8,2025-08-15
451,1632,421,21,3,4,2025-05-12
452,3074,400,13,7,3,2025-12-24
453,408,192,13,15,9,2025-11-18
454,266,50,71,13,5,2025-07-25
455,1240,130,51,12,9,2025-09-14
456,192,25,35,17,5,2025-06-25
457,4040,86,8,3,2,2025-06-09
458,1934,411,42,17,5,2025-08-04
459,28,112,11,14,9,2025-02-12
460,3127,320,16,18,2,2025-08-25
461,2669,147,43,15,5,2025-06-03
462,3412,245,16,6,9,2025-01-16
463,384,93,90,1,4,2025-12-28
464,3487,491,15,1,9,2025-02-14
465,3790,428,61,18,5,2025-02-20
466,3519,9,100,16,8,2025-04-09
467,2177,42,29,3,9,2025-10-05
468,2198,276,64,17,3,2025-03-06
469,611,387,57,7,10,2025-07-20
470,1131,431,14,20,2,2025-08-10
471,659,376,29,9,2,2025-02-05
472,3745,399,79,20,8,2025-09-21
473,3426,294,49,2,5,2025-04-05
474,4579,442,15,13,9,2025-02-10
475,1724,476,11,2,10,2025-02-24
476,183,309,83,14,1,2025-07-27
477,29,271,7,9,6,2025-04-23
478,2663,28,39,16,7,2025-09-28
479,1752,96,100,8,2,2025-10-21
480,4788,114,18,16,4,2025-03-17
481,1718,40,88,17,7,2025-12-06
482,445,486,56,3,7,2025-06-23
483,1005,182,72,19,5,2025-07-10
484,4275,92,25,2,9,2025-06-16
485,1343,484,56,8,2,2025-01-18
486,1703,432,86,5,1,2025-12-30
487,1609,149,86,3,4,2025-08-11
488,3782,191,49,16,7,2025-03-08
489,2564,38,97,9,7,2025-04-28
490,3991,417,41,17,5,2025-10-09
491,834,19,39,12,6,2025-06-18
492,1772,210,69,13,6,2025-11-04
493,776,165,38,15,10,2025-09-06
494,3732,358,68,3,2,2025-05-07
495,1926,269,91,8,5,2025-03-18
496,3956,215,54,14,9,2025-12-23
497,526,426,33,11,5,2025-10-23
498,1018,120,63,13,3,2025-01-21
499,2280,400,97,8,10,2025-12-28
500,4089,343,77,2,8,2025-11-14
501,2853,418,86,4,1,2025-05-10
502,1307,222,65,15,4,2025-05-18
503,4743,31,91,12,3,2025-10-30
504,2605,153,34,1,1,2025-03-22
505,3502,207,65,10,6,2025-08-20
506,3313,357,92,11,5,2025-11-18
507,903,272,40,5,3,2025-09-07
508,2301,203,87,17,10,2025-01-19
509,3547,24,38,7,3,2025-02-05
510,4852,353,43,5,1,2025-04-04
511,1176,308,5,2,2,2025-12-10
512,1568,320,62,6,7,2025-07-12
513,4553,459,39,3,9,2025-02-10
514,1876,185,7,17,5,2025-09-24
515,1022,70,26,18,3,2025-01-02
516,1008,84,63,16,7,2025-04-30
517,2938,446,6,7,1,2025-02-21
518,1073,10,46,5,10,2025-12-21
519,199,31,91,4,1,2025-08-06
520,746,276,7,7,6,2025-03-07
521,3137,329,43,5,9,2025-10-25
522,3143,379,1,17,7,2025-11-21
523,1419,479,7,12,6,2025-10-08
524,2927,24,48,12,2,2025-11-12
525,2053,38,63,11,2,2025-12-20
526,3997,161,52,7,8,2025-11-13
527,48,166,50,19,2,2025-08-20
528,1083,371,22,18,7,2025-10-26
529,4101,371,42,12,10,2025-07-17
530,3241,16,8,2,4,2025-01-03
531,3529,375,20,13,9,2025-11-17
532,1908,175,28,18,5,2025-07-16
533,1163,343,5,19,8,2025-01-20
534,4844,432,4,6,5,2025-08-30
535,3440,223,85,14,3,2025-11-05
536,2006,96,72,16,3,2025-04-26
537,2816,299,97,18,8,2025-03-04
538,1506,301,4,2,9,2025-08-02
539,1761,482,15,18,7,2025-08-11
540,1827,296,65,20,7,2025-03-22
541,4399,76,84,3,2,2025-07-26
542,2185,13,11,7,1,2025-09-25
543,1744,24,11,11,9,2025-01-09
544,1561,133,55,14,6,2025-12-13
545,3819,191,33,4,1,2025-04-26
546,66,351,13,12,8,2025-12-01
547,4692,345,94,18,9,2025-04-30
548,2123,423,39,7,9,2025-05-21
549,1363,26,21,13,1,2025-04-06
550,1536,331,95,7,4,2025-04-10
551,3267,246,83,4,7,2025-04-27
552,45,149,97,20,7,2025-06-15
553,1216,68,89,8,10,2025-04-21
554,4902,247,62,1,5,2025-11-24
555,4733,92,82,2,10,2025-07-11
556,4522,263,54,16,10,2025-02-17
557,695,278,82,13,5,2025-04-30
558,270,98,15,5,1,2025-12-02
559,4953,494,81,8,10,2025-05-19
560,3041,376,81,16,3,2025-01-31
561,4238,107,39,7,8,2025-03-23
562,2636,290,63,13,8,2025-08-20
563,3649,83,83,10,6,2025-06-11
564,581,208,40,17,2,2025-10-14
565,4053,364,3,3,2,2025-06-20
566,2387,395,59,3,10,2025-07-15
567,556,182,43,14,4,2025-04-22
568,446,227,62,18,1,2025-01-28
569,5,152,63,18,4,2025-11-01
570,1855,345,18,17,8,2025-08-27
571,2042,343,74,8,9,2025-03-22
572,195,274,95,13,9,2025-01-27
573,2513,381,71,1,4,2025-07-18
574,868,292,78,7,1,2025-02-14
575,1641,55,15,11,9,2025-09-20
576,3934,221,47,15,7,2025-07-15
577,848,143,85,5,6,2025-02-11
578,1064,470,71,4,3,2025-11-22
579,4502,142,38,18,3,2025-05-03
580,1994,271,24,14,2,2025-07-13
581,622,305,76,13,8,2025-09-13
582,109,234,44,8,6,2025-08-16
583,3371,210,8,17,1,2025-05-12
584,1777,42,65,2,7,2025-08-12
585,1370,269,16,9,6,2025-11-29
586,1825,421,81,14,2,2025-02-01
587,3254,81,21,2,4,2025-08-05
588,4559,50,51,10,2,2025-08-04
589,2827,452,30,9,9,2025-03-31
590,1386,457,21,3,1,2025-05-21
591,503,5,70,3,1,2025-10-08
592,605,294,6,11,2,2025-12-09
593,3065,472,39,16,3,2025-02-23
594,3216,318,11,1,4,2025-01-22
595,4216,268,95,8,2,2025-08-05
596,2468,216,36,15,7,2025-07-01
597,682,365,35,10,4,2025-02-02
598,2959,310,64,10,7,2025-04-15
599,4773,171,48,5,1,2025-03-04
600,1625,150,17,3,7,2025-01-03
601,3992,427,76,19,4,2025-03-14
602,1101,362,47,18,4,2025-03-12
603,4158,183,84,10,10,2025-10-28
604,1761,277,47,4,3,2025-02-10
605,4484,107,18,12,8,2025-09-05
606,878,27,25,16,10,2025-02-15
607,3133,215,71,3,3,2025-01-04
608,577,499,38,11,7,2025-08-09
609,28,148,50,13,2,2025-01-18
610,3286,388,95,7,2,2025-10-01
611,1910,398,92,10,8,2025-04-24
612,1724,46,2,18,4,2025-03-02
613,81,242,9,13,3,2025-06-09
614,380,207,100,12,8,2025-04-22
615,2431,235,47,4,8,2025-04-13
616,4604,237,37,1,5,2025-01-08
617,3961,118,81,17,4,2025-07-13
618,725,367,23,10,4,2025-04-23
619,2736,113,73,10,9,2025-10-14
620,3502,468,46,18,5,2025-03-20
621,1611,166,36,6,8,2025-05-22
622,2135,229,17,1,8,2025-03-19
623,292,214,91,18,10,2025-03-25
624,3569,299,40,16,6,2025-11-27
625,1809,250,44,12,10,2025-04-01
626,412,342,81,17,3,2025-07-14
627,249,157,6,19,10,2025-04-23
628,3769,336,50,17,5,2025-04-12
629,1370,158,28,13,1,2025-11-02
630,1756,35,76,9,4,2025-01-28
631,4075,444,59,16,7,2025-12-26
632,166,475,22,14,6,2025-02-11
633,3942,149,60,2,6,2025-04-20
634,2476,75,8,20,2,2025-03-30
635,4898,438,52,9,10,2025-11-14
636,3337,396,72,7,6,2025-02-17
637,3066,346,91,14,2,2025-01-22
638,4208,424,75,6,8,2025-09-21
639,3345,469,47,11,7,2025-05-08
640,4227,442,40,5,7,2025-12-25
641,4879,254,70,20,10,2025-01-21
642,4110,172,39,1,5,2025-09-29
643,2527,183,83,8,4,2025-10-03
644,2801,184,31,13,5,2025-11-22
645,278,437,52,20,7,2025-03-31
646,4880,142,20,9,9,2025-05-13
647,4246,417,71,20,9,2025-02-08
648,836,20,72,17,2,2025-01-04
649,2334,462,8,18,2,2025-02-23
650,2534,202,19,20,8,2025-12-26
651,1186,382,45,2,10,2025-03-29
652,4679,248,43,10,9,2025-07-22
653,1380,241,69,14,3,2025-12-29
654,2806,393,22,18,8,2025-12-02
655,4851,26,92,9,6,2025-09-22
656,2684,88,58,17,5,2025-08-08
657,1447,456,52,4,10,2025-01-14
658,2190,213,48,15,5,2025-01-02
659,4077,417,32,4,8,2025-10-16
660,3677,292,35,10,9,2025-10-12
661,2536,240,61,4,8,2025-08-24
662,2334,125,46,3,10,2025-03-26
663,2443,300,33,20,4,2025-11-17
664,4878,205,35,2,6,2025-11-14
665,952,110,38,2,1,2025-10-17
666,4398,463,43,16,7,2025-06-24
667,156,157,96,13,8,2025-12-28
668,4571,422,79,12,7,2025-10-26
669,4374,92,90,2,2,2025-08-03
670,3397,383,9,14,1,2025-07-19
671,3580,402,42,15,8,2025-07-16
672,2390,313,91,16,5,2025-03-27
673,443,365,68,13,7,2025-11-07
674,4564,470,23,14,3,2025-05-14
675,488,204,95,16,4,2025-08-15
676,144,195,33,5,5,2025-09-14
677,1431,78,26,2,7,2025-07-19
678,4406,323,4,10,3,2025-10-17
679,778,414,66,15,3,2025-07-22
680,4223,211,71,10,2,2025-12-16
681,3845,156,31,2,6,2025-03-25
682,218,373,77,20,9,2025-07-08
683,383,53,50,10,7,2025-08-15
684,4695,206,35,12,6,2025-05-03
685,188,19,53,8,9,2025-06-14
686,2486,485,56,12,7,2025-08-20
687,1620,283,67,18,6,2025-10-26
688,3265,384,19,9,3,2025-05-24
689,2993,375,72,9,9,2025-06-07
690,2818,467,64,4,4,2025-12-29
691,3233,346,23,11,4,2025-06-21
692,2754,500,46,1,10,2025-01-10
693,2085,224,16,15,9,2025-12-12
694,3865,74,83,14,2,2025-01-18
695,4711,250,94,17,2,2025-09-15
696,3603,273,76,15,6,2025-12-15
697,59,225,7,14,4,2025-10-30
698,290,404,80,19,4,2025-05-18
699,4572,161,52,9,6,2025-01-11
700,4845,472,47,19,4,2025-06-22
701,1641,100,5,14,6,2025-05-04
702,2420,18,35,13,8,2025-05-30
703,4199,290,72,7,3,2025-11-16
