shipment_id,order_id,shipped_date,shipment_status
150,150,2025-01-17,Delivered
151,151,2025-02-20,In Transit
152,152,2025-06-13,Delivered
153,153,2025-12-28,In Transit
154,154,2025-04-03,Delivered
155,155,2025-07-21,Shipped
156,156,2025-03-25,Delivered
157,157,2025-02-03,Shipped
158,158,2026-01-01,Delivered
159,159,2025-03-15,Delivered
160,160,2025-07-16,In Transit
161,161,2025-10-28,Shipped
162,162,2025-04-08,Delivered
163,163,2025-08-22,In Transit
164,164,2025-07-29,Delivered
165,165,2025-05-14,Delivered
166,166,2025-05-23,Delivered
167,167,2025-12-23,In Transit
168,168,2025-11-12,Shipped
169,169,2025-10-21,Shipped
170,170,2025-09-04,In Transit
171,171,2025-01-15,In Transit
172,172,2025-11-02,Delivered
173,173,2025-09-16,Shipped
174,174,2025-07-24,Delivered
175,175,2025-10-05,In Transit
176,176,2025-12-15,In Transit
177,177,2025-02-21,In Transit
178,178,2025-05-21,Shipped
179,179,2025-04-25,Delivered
180,180,2025-05-23,Shipped
181,181,2025-11-28,Delivered
182,182,2025-06-06,Delivered
183,183,2025-06-07,Shipped
184,184,2025-06-09,In Transit
185,185,2025-07-16,Shipped
186,186,2025-01-31,In Transit
187,187,2025-11-30,Shipped
188,188,2025-01-20,In Transit
189,189,2025-04-29,Shipped
190,190,2025-09-04,Delivered
191,191,2025-02-28,Shipped
192,192,2025-09-21,Delivered
193,193,2026-01-02,Shipped
194,194,2025-06-09,Shipped
195,195,2025-06-26,Shipped
196,196,2025-07-28,Shipped
197,197,2025-02-26,In Transit
198,198,2025-07-23,In Transit
199,199,2025-12-25,In Transit
200,200,2025-01-18,In Transit
201,201,2025-12-20,Delivered
202,202,2025-12-09,In Transit
203,203,2025-03-19,In Transit
204,204,2025-06-15,Delivered
205,205,2025-01-10,Shipped
206,206,2025-08-17,Shipped
207,207,2025-03-30,In Transit
208,208,2025-04-14,Shipped
209,209,2025-12-25,Delivered
210,210,2025-10-16,Delivered
211,211,2025-10-17,Delivered
212,212,2025-11-21,In Transit
213,213,2025-12-06,Delivered
214,214,2025-01-15,Shipped
215,215,2025-05-09,Shipped
216,216,2025-08-17,Delivered
217,217,2025-12-20,Shipped
218,218,2025-10-06,Shipped
219,219,2025-04-27,In Transit
220,220,2025-12-07,Shipped
221,221,2025-06-14,Shipped
222,222,2025-02-28,Shipped
223,223,2025-01-27,Delivered
224,224,2025-04-09,Delivered
225,225,2025-06-19,Delivered
226,226,2025-06-19,Delivered
227,227,2025-05-12,Shipped
228,228,2025-12-05,In Transit
229,229,2025-05-12,Delivered
230,230,2025-03-15,Delivered
231,231,2025-07-01,Delivered
232,232,2025-08-14,In Transit
233,233,2025-01-30,Delivered
234,234,2025-09-16,Delivered
235,235,2025-01-27,Shipped
236,236,2025-04-24,Shipped
237,237,2025-05-12,In Transit
238,238,2025-10-17,Delivered
239,239,2025-09-18,Delivered
240,240,2025-10-15,In Transit
241,241,2025-06-23,Shipped
242,242,2025-09-12,Delivered
243,243,2025-08-09,Delivered
244,244,2025-04-21,In Transit
245,245,2025-08-15,Delivered
246,246,2025-11-28,Shipped
247,247,2025-12-13,In Transit
248,248,2025-10-16,Delivered
249,249,2025-03-27,Delivered
250,250,2025-05-14,Delivered
251,251,2025-02-20,In Transit
252,252,2025-08-21,Shipped
253,253,2026-01-02,Delivered
254,254,2025-03-13,Delivered
255,255,2025-02-03,Shipped
256,256,2025-08-29,Shipped
257,257,2025-10-19,In Transit
258,258,2025-01-14,In Transit
259,259,2025-03-19,Delivered
260,260,2025-08-15,Delivered
261,261,2025-06-02,Shipped
262,262,2025-09-04,In Transit
263,263,2025-01-12,Delivered
264,264,2025-11-01,Shipped
265,265,2025-11-13,Shipped
266,266,2025-04-12,Shipped
267,267,2025-10-21,In Transit
268,268,2025-06-07,Delivered
269,269,2025-02-13,In Transit
270,270,2025-04-11,In Transit
271,271,2025-03-09,Shipped
272,272,2025-03-14,In Transit
273,273,2025-07-15,Delivered
274,274,2025-07-04,Shipped
275,275,2025-03-27,Shipped
276,276,2025-03-06,Delivered
277,277,2025-09-14,Shipped
278,278,2025-01-25,In Transit
279,279,2025-01-06,Shipped
280,280,2025-07-22,Shipped
281,281,2025-11-22,In Transit
282,282,2025-11-23,Shipped
283,283,2025-12-25,Delivered
284,284,2025-02-25,Delivered
285,285,2025-01-29,Delivered
286,286,2025-09-22,In Transit
287,287,2025-01-09,Shipped
288,288,2025-10-23,In Transit
289,289,2025-04-25,In Transit
290,290,2025-06-02,In Transit
291,291,2025-08-23,In Transit
292,292,2025-11-19,Delivered
293,293,2025-02-01,Delivered
294,294,2025-03-10,Shipped
295,295,2025-12-06,Delivered
296,296,2025-01-12,Shipped
297,297,2025-02-12,Delivered
298,298,2025-04-29,Delivered
299,299,2025-11-03,Shipped
300,300,2025-04-28,Delivered
301,301,2025-08-30,In Transit
302,302,2025-07-03,In Transit
303,303,2025-07-30,Delivered
304,304,2025-05-31,In Transit
305,305,2025-12-24,Delivered
306,306,2025-09-24,Delivered
307,307,2025-04-06,Shipped
308,308,2025-11-30,In Transit
309,309,2025-02-13,Shipped
310,310,2025-03-08,Shipped
311,311,2025-08-19,In Transit
312,312,2025-10-24,Delivered
313,313,2025-12-30,Shipped
314,314,2025-02-27,Shipped
315,315,2025-06-25,Delivered
316,316,2025-03-23,Delivered
317,317,2025-11-04,Delivered
318,318,2025-09-17,In Transit
319,319,2025-06-07,Delivered
320,320,2025-04-03,Shipped
321,321,2025-02-03,Delivered
322,322,2025-10-17,Shipped
323,323,2025-02-05,In Transit
324,324,2025-11-13,Shipped
325,325,2025-06-01,Shipped
326,326,2025-04-29,Delivered
327,327,2025-07-06,Shipped
328,328,2025-12-29,Delivered
329,329,2025-08-30,Delivered
330,330,2025-05-22,In Transit
331,331,2025-05-17,Shipped
332,332,2025-09-14,Delivered
333,333,2025-07-12,In Transit
334,334,2025-10-15,In Transit
335,335,2025-07-16,Delivered
336,336,2025-11-22,Delivered
337,337,2025-07-08,Delivered
338,338,2025-02-26,Delivered
339,339,2025-07-09,Shipped
340,340,2025-09-05,In Transit
341,341,2025-01-10,Shipped
342,342,2025-01-24,Shipped
343,343,2025-07-28,In Transit
344,344,2025-07-01,Shipped
345,345,2025-10-28,Shipped
346,346,2025-07-28,In Transit
347,347,2025-03-08,In Transit
348,348,2025-08-16,In Transit
349,349,2025-12-28,Shipped
350,350,2025-11-20,Shipped
351,351,2025-05-10,Delivered
352,352,2025-08-13,Delivered
353,353,2025-09-11,In Transit
354,354,2025-03-22,In Transit
355,355,2025-06-08,Shipped
356,356,2025-04-26,In Transit
357,357,2025-09-17,Shipped
358,358,2025-01-07,Delivered
359,359,2025-07-29,Delivered
360,360,2025-03-02,Delivered
361,361,2025-07-26,Delivered
362,362,2025-01-12,Delivered
363,363,2025-11-17,Delivered
364,364,2025-04-14,Shipped
365,365,2025-11-16,Shipped
366,366,2025-07-14,In Transit
367,367,2025-02-16,Shipped
368,368,2025-08-12,In Transit
369,369,2025-10-31,Delivered
370,370,2025-07-14,In Transit
371,371,2025-12-22,Shipped
372,372,2025-08-17,Delivered
373,373,2025-01-06,Shipped
374,374,2025-06-28,Delivered
375,375,2025-12-07,In Transit
376,376,2025-07-29,Shipped
377,377,2025-09-08,Delivered
378,378,2025-04-04,In Transit
379,379,2025-02-07,Delivered
380,380,2025-01-29,In Transit
381,381,2025-02-03,In Transit
382,382,2025-06-08,Delivered
383,383,2025-07-26,Delivered
384,384,2025-08-04,In Transit
385,385,2025-03-04,Shipped
386,386,2025-09-06,Delivered
387,387,2025-08-11,In Transit
388,388,2025-08-28,Shipped
389,389,2025-08-12,Delivered
390,390,2025-04-21,In Transit
391,391,2025-01-05,Delivered
392,392,2025-09-16,In Transit
393,393,2025-07-05,In Transit
394,394,2025-05-28,In Transit
395,395,2025-09-13,Shipped
396,396,2025-08-01,Shipped
397,397,2025-10-23,In Transit
398,398,2025-12-31,Shipped
399,399,2025-04-18,In Transit
400,400,2025-06-12,Delivered
401,401,2025-04-11,Delivered
402,402,2025-04-02,Shipped
403,403,2025-02-13,Shipped
404,404,2025-08-30,Delivered
405,405,2025-10-30,Delivered
406,406,2025-02-08,In Transit
407,407,2025-08-12,In Transit
408,408,2025-08-16,Shipped
409,409,2025-10-15,Delivered
410,410,2025-08-02,In Transit
411,411,2025-10-06,In Transit
412,412,2025-10-29,Delivered
413,413,2025-03-18,Shipped
414,414,2025-09-08,Shipped
415,415,2025-02-13,Delivered
416,416,2025-01-17,Delivered
417,417,2025-11-01,Shipped
418,418,2025-12-08,Delivered
419,419,2025-07-13,In Transit
420,420,2025-04-23,In Transit
421,421,2025-03-13,Shipped
422,422,2025-04-21,Shipped
423,423,2025-03-22,Shipped
424,424,2025-12-12,In Transit
425,425,2025-12-20,Delivered
426,426,2025-09-22,Delivered
427,427,2025-03-15,In Transit
428,428,2025-06-17,Shipped
429,429,2025-01-18,In Transit
430,430,2025-04-10,In Transit
431,431,2025-12-28,In Transit
432,432,2025-06-27,Shipped
433,433,2025-11-10,Shipped
434,434,2025-10-21,Shipped
435,435,2025-07-21,In Transit
436,436,2025-11-17,Delivered
437,437,2025-12-08,Shipped
438,438,2025-07-21,In Transit
439,439,2025-11-22,In Transit
440,440,2025-02-13,Shipped
441,441,2025-09-30,Delivered
442,442,2025-06-22,Delivered
443,443,2025-01-15,Shipped
444,444,2025-02-24,Delivered
445,445,2025-06-13,In Transit
446,446,2025-05-22,Delivered
447,447,2025-11-14,In Transit
448,448,2025-05-01,In Transit
449,449,2025-03-24,In Transit
450,450,2025-08-17,In Transit
451,451,2025-05-14,Shipped
452,452,2025-12-26,In Transit
453,453,2025-11-21,In Transit
454,454,2025-07-28,Delivered
455,455,2025-09-16,In Transit
456,456,2025-06-26,Shipped
457,457,2025-06-11,In Transit
458,458,2025-08-07,Delivered
459,459,2025-02-14,In Transit
460,460,2025-08-27,Delivered
461,461,2025-06-04,Shipped
462,462,2025-01-18,In Transit
463,463,2025-12-31,Shipped
464,464,2025-02-17,Delivered
465,465,2025-02-22,Delivered
466,466,2025-04-12,Delivered
467,467,2025-10-06,Shipped
468,468,2025-03-09,In Transit
469,469,2025-07-22,Shipped
470,470,2025-08-11,Delivered
471,471,2025-02-08,Delivered
472,472,2025-09-23,In Transit
473,473,2025-04-06,Delivered
474,474,2025-02-13,Shipped
475,475,2025-02-26,Shipped
476,476,2025-07-29,Shipped
477,477,2025-04-26,Shipped
478,478,2025-09-30,Delivered
479,479,2025-10-23,In Transit
480,480,2025-03-20,Delivered
481,481,2025-12-07,Delivered
482,482,2025-06-26,Delivered
483,483,2025-07-12,Delivered
484,484,2025-06-19,In Transit
485,485,2025-01-19,Shipped
486,486,2025-12-31,Shipped
487,487,2025-08-14,Delivered
488,488,2025-03-09,Delivered
489,489,2025-04-29,Delivered
490,490,2025-10-10,Shipped
491,491,2025-06-21,Delivered
492,492,2025-11-05,In Transit
493,493,2025-09-09,Shipped
494,494,2025-05-08,In Transit
495,495,2025-03-19,Shipped
496,496,2025-12-25,Delivered
497,497,2025-10-25,In Transit
498,498,2025-01-24,Shipped
499,499,2025-12-31,Delivered
500,500,2025-11-17,Shipped
501,501,2025-05-11,Shipped
502,502,2025-05-19,Delivered
503,503,2025-10-31,Delivered
504,504,2025-03-23,Delivered
505,505,2025-08-23,In Transit
506,506,2025-11-21,Delivered
507,507,2025-09-08,In Transit
508,508,2025-01-22,In Transit
509,509,2025-02-08,Shipped
510,510,2025-04-07,In Transit
511,511,2025-12-13,Shipped
512,512,2025-07-15,Delivered
513,513,2025-02-13,Shipped
514,514,2025-09-27,Shipped
515,515,2025-01-05,Delivered
516,516,2025-05-02,Delivered
517,517,2025-02-23,Shipped
518,518,2025-12-24,Delivered
519,519,2025-08-09,Delivered
520,520,2025-03-08,Shipped
521,521,2025-10-27,Delivered
522,522,2025-11-22,Delivered
523,523,2025-10-11,In Transit
524,524,2025-11-15,Delivered
525,525,2025-12-21,Shipped
526,526,2025-11-16,Delivered
527,527,2025-08-22,Delivered
528,528,2025-10-28,In Transit
529,529,2025-07-20,Shipped
530,530,2025-01-05,Shipped
531,531,2025-11-18,Shipped
532,532,2025-07-18,In Transit
533,533,2025-01-22,Shipped
534,534,2025-08-31,Delivered
535,535,2025-11-06,Delivered
536,536,2025-04-28,Shipped
537,537,2025-03-06,Shipped
538,538,2025-08-05,Shipped
539,539,2025-08-13,Shipped
540,540,2025-03-23,Delivered
541,541,2025-07-29,In Transit
542,542,2025-09-27,In Transit
543,543,2025-01-12,Delivered
544,544,2025-12-15,Delivered
545,545,2025-04-29,Delivered
546,546,2025-12-04,In Transit
547,547,2025-05-03,In Transit
548,548,2025-05-23,Shipped
549,549,2025-04-07,Shipped
550,550,2025-04-12,In Transit
551,551,2025-04-29,Delivered
552,552,2025-06-18,In Transit
553,553,2025-04-24,Shipped
554,554,2025-11-25,Delivered
555,555,2025-07-12,Shipped
556,556,2025-02-19,Delivered
557,557,2025-05-03,Shipped
558,558,2025-12-05,Shipped
559,559,2025-05-21,Delivered
560,560,2025-02-02,Delivered
561,561,2025-03-24,Delivered
562,562,2025-08-23,Shipped
563,563,2025-06-14,In Transit
564,564,2025-10-17,Shipped
565,565,2025-06-22,Shipped
566,566,2025-07-17,Shipped
567,567,2025-04-23,Delivered
568,568,2025-01-29,Shipped
569,569,2025-11-03,In Transit
570,570,2025-08-29,In Transit
571,571,2025-03-23,Shipped
572,572,2025-01-30,In Transit
573,573,2025-07-19,Shipped
574,574,2025-02-15,Shipped
575,575,2025-09-22,In Transit
576,576,2025-07-16,Delivered
577,577,2025-02-14,Shipped
578,578,2025-11-23,Delivered
579,579,2025-05-04,Delivered
580,580,2025-07-16,Delivered
581,581,2025-09-14,Shipped
582,582,2025-08-18,Shipped
583,583,2025-05-13,In Transit
584,584,2025-08-15,Delivered
585,585,2025-12-01,Delivered
586,586,2025-02-04,Delivered
587,587,2025-08-08,Delivered
588,588,2025-08-06,Shipped
589,589,2025-04-03,Shipped
590,590,2025-05-23,Shipped
591,591,2025-10-10,Shipped
592,592,2025-12-12,Shipped
593,593,2025-02-26,In Transit
594,594,2025-01-24,In Transit
595,595,2025-08-08,Shipped
596,596,2025-07-03,Delivered
597,597,2025-02-05,Shipped
598,598,2025-04-18,Delivered
599,599,2025-03-07,Delivered
600,600,2025-01-04,Delivered
601,601,2025-03-16,Delivered
602,602,2025-03-15,Shipped
603,603,2025-10-31,In Transit
604,604,2025-02-11,In Transit
605,605,2025-09-07,Shipped
606,606,2025-02-16,Delivered
607,607,2025-01-05,Shipped
608,608,2025-08-10,In Transit
609,609,2025-01-19,Shipped
610,610,2025-10-02,In Transit
611,611,2025-04-27,Delivered
612,612,2025-03-04,In Transit
613,613,2025-06-10,In Transit
614,614,2025-04-23,In Transit
615,615,2025-04-16,Shipped
616,616,2025-01-10,Delivered
617,617,2025-07-16,In Transit
618,618,2025-04-26,Shipped
619,619,2025-10-17,In Transit
620,620,2025-03-21,In Transit
621,621,2025-05-24,In Transit
622,622,2025-03-20,In Transit
623,623,2025-03-26,Delivered
624,624,2025-11-28,Delivered
625,625,2025-04-02,In Transit
626,626,2025-07-15,Delivered
627,627,2025-04-24,In Transit
628,628,2025-04-15,Shipped
629,629,2025-11-03,Shipped
630,630,2025-01-29,Shipped
631,631,2025-12-29,In Transit
632,632,2025-02-12,In Transit
633,633,2025-04-21,In Transit
634,634,2025-04-02,In Transit
635,635,2025-11-16,Delivered
636,636,2025-02-19,Delivered
637,637,2025-01-23,Delivered
638,638,2025-09-23,Delivered
639,639,2025-05-10,Shipped
640,640,2025-12-27,Shipped
641,641,2025-01-24,In Transit
642,642,2025-10-01,Shipped
643,643,2025-10-04,In Transit
644,644,2025-11-25,Shipped
645,645,2025-04-01,Shipped
646,646,2025-05-15,In Transit
647,647,2025-02-11,Delivered
648,648,2025-01-06,Delivered
649,649,2025-02-25,In Transit
650,650,2025-12-27,Delivered
651,651,2025-03-31,Shipped
652,652,2025-07-23,Shipped
653,653,2026-01-01,Shipped
654,654,2025-12-03,Shipped
655,655,2025-09-23,In Transit
656,656,2025-08-11,Shipped
657,657,2025-01-16,Delivered
658,658,2025-01-04,Delivered
659,659,2025-10-19,Delivered
660,660,2025-10-15,Delivered
661,661,2025-08-25,Delivered
662,662,2025-03-28,Delivered
663,663,2025-11-19,In Transit
664,664,2025-11-17,Delivered
665,665,2025-10-20,Shipped
666,666,2025-06-25,Delivered
667,667,2025-12-31,Delivered
668,668,2025-10-27,Delivered
669,669,2025-08-04,Delivered
670,670,2025-07-21,Shipped
671,671,2025-07-17,In Transit
672,672,2025-03-29,Delivered
673,673,2025-11-09,Shipped
674,674,2025-05-16,Shipped
675,675,2025-08-17,In Transit
676,676,2025-09-16,Delivered
677,677,2025-07-20,In Transit
678,678,2025-10-18,In Transit
679,679,2025-07-23,Shipped
680,680,2025-12-18,Shipped
681,681,2025-03-28,Shipped
682,682,2025-07-11,In Transit
683,683,2025-08-18,In Transit
684,684,2025-05-05,Shipped
685,685,2025-06-17,Delivered
686,686,2025-08-23,In Transit
687,687,2025-10-28,In Transit
688,688,2025-05-27,In Transit
689,689,2025-06-10,Delivered
690,690,2025-12-31,In Transit
691,691,2025-06-23,In Transit
692,692,2025-01-11,In Transit
693,693,2025-12-14,Delivered
694,694,2025-01-20,In Transit
695,695,2025-09-18,Delivered
696,696,2025-12-17,Shipped
697,697,2025-10-31,Delivered
698,698,2025-05-19,Shipped
699,699,2025-01-12,In Transit
700,700,2025-06-24,In Transit
701,701,2025-05-05,Shipped
702,702,2025-05-31,In Transit
703,703,2025-11-17,Shipped
704,704,2025-10-30,Delivered
705,705,2025-07-06,Delivered
706,706,2025-10-04,In Transit
707,707,2025-10-29,Delivered
708,708,2025-06-04,Delivered
709,709,2025-12-02,Shipped
710,710,2025-12-13,In Transit
711,711,2025-05-26,Delivered
712,712,2025-07-20,Delivered
713,713,2025-06-08,Delivered
714,714,2025-06-20,Delivered
715,715,2025-02-07,Shipped
716,716,2025-06-16,In Transit
717,717,2025-12-29,Shipped
718,718,2025-08-04,Shipped
719,719,2025-05-04,Shipped
720,720,2025-05-01,Shipped
721,721,2025-09-14,In Transit
722,722,2025-04-05,Delivered
723,723,2025-12-20,Delivered
724,724,2025-11-01,In Transit
725,725,2025-10-23,Delivered
726,726,2025-09-30,In Transit
727,727,2025-10-17,In Transit
728,728,2025-04-14,Shipped
729,729,2025-06-16,In Transit
730,730,2025-02-19,Shipped
731,731,2025-01-05,Delivered
732,732,2025-01-23,Shipped
733,733,2025-10-31,Shipped
734,734,2025-06-28,Delivered
735,735,2025-02-09,Delivered
736,736,2025-01-06,Shipped
737,737,2025-12-19,Shipped
738,738,2025-06-15,Delivered
739,739,2025-05-11,Shipped
740,740,2025-09-05,Shipped
741,741,2025-03-20,Shipped
742,742,2025-03-24,In Transit
743,743,2025-08-18,Delivered
744,744,2025-07-27,Delivered
745,745,2025-05-17,Delivered
746,746,2025-08-30,Delivered
747,747,2025-06-12,Shipped
748,748,2025-07-06,In Transit
749,749,2025-08-20,Delivered
750,750,2025-01-27,Delivered
751,751,2025-11-18,Delivered
752,752,2025-12-19,Delivered
753,753,2025-01-28,Delivered
754,754,2025-01-22,Delivered
755,755,2025-07-10,In Transit
756,756,2025-10-29,Delivered
757,757,2025-02-09,In Transit
758,758,2025-03-01,In Transit
759,759,2025-10-19,Delivered
760,760,2025-07-31,In Transit
761,761,2025-02-06,Shipped
762,762,2025-08-06,Delivered
763,763,2025-09-28,Delivered
764,764,2025-02-26,Shipped
765,765,2025-07-21,In Transit
766,766,2025-08-01,In Transit
767,767,2025-10-23,In Transit
768,768,2025-09-10,In Transit
769,769,2025-12-13,In Transit
770,770,2025-02-11,Delivered
771,771,2025-04-20,Shipped
772,772,2025-03-06,Delivered
773,773,2025-10-07,Shipped
774,774,2025-06-16,Shipped
775,775,2025-03-15,Shipped
776,776,2025-06-03,Shipped
777,777,2025-10-01,Shipped
778,778,2025-12-16,Shipped
779,779,2025-04-20,Shipped
780,780,2025-09-08,Delivered
781,781,2025-10-22,In Transit
782,782,2025-11-12,In Transit
783,783,2025-09-09,Shipped
784,784,2025-12-15,Shipped
785,785,2026-01-01,Delivered
786,786,2025-06-30,In Transit
787,787,2025-06-08,Delivered
788,788,2025-01-31,Shipped
789,789,2025-04-08,In Transit
790,790,2025-06-11,Shipped
791,791,2025-01-15,In Transit
792,792,2025-04-04,In Transit
793,793,2025-06-24,In Transit
794,794,2025-07-25,In Transit
795,795,2025-04-14,Delivered
796,796,2025-12-24,Delivered
797,797,2025-04-28,Shipped
798,798,2025-08-20,Shipped
799,799,2025-11-28,Delivered
800,800,2025-10-08,Delivered
801,801,2025-09-07,Delivered
802,802,2025-12-28,In Transit
803,803,2025-03-04,In Transit
804,804,2025-10-06,Shipped
805,805,2025-05-26,Shipped
806,806,2025-08-06,Shipped
807,807,2025-06-02,In Transit
808,808,2025-06-06,Shipped
809,809,2025-04-11,In Transit
810,810,2025-12-30,In Transit
811,811,2025-05-17,Shipped
812,812,2025-06-28,In Transit
813,813,2025-09-27,In Transit
814,814,2025-04-11,In Transit
815,815,2025-06-10,In Transit
816,816,2025-03-13,In Transit
817,817,2025-10-12,Delivered
818,818,2025-09-01,In Transit
819,819,2025-04-18,Shipped
820,820,2025-07-19,In Transit
821,821,2025-04-03,Shipped
822,822,2025-02-25,Shipped
823,823,2025-12-10,In Transit
824,824,2025-08-18,Delivered
825,825,2025-10-03,Shipped
826,826,2025-10-29,Shipped
827,827,2025-09-19,In Transit
828,828,2025-03-19,In Transit
829,829,2025-03-22,Shipped
830,830,2025-11-26,In Transit
831,831,2025-06-20,In Transit
832,832,2025-07-20,In Transit
833,833,2025-11-23,In Transit
834,834,2025-06-05,In Transit
835,835,2025-10-23,Shipped
836,836,2025-07-13,In Transit
837,837,2025-09-06,In Transit
838,838,2025-12-06,Delivered
839,839,2025-12-16,Delivered
840,840,2025-03-16,Shipped
841,841,2025-09-06,Shipped
842,842,2025-02-22,In Transit
843,843,2025-08-11,In Transit
844,844,2025-01-29,Delivered
845,845,2026-01-03,Shipped
846,846,2025-09-16,Shipped
847,847,2025-03-13,In Transit
848,848,2025-03-07,In Transit
849,849,2025-11-13,Delivered
850,850,2025-01-24,Delivered
851,851,2025-03-28,Shipped
852,852,2025-11-26,In Transit
853,853,2025-09-01,Delivered
854,854,2025-02-05,Delivered
855,855,2025-06-16,Delivered
856,856,2025-08-03,In Transit
857,857,2025-03-27,In Transit
858,858,2025-12-05,In Transit
859,859,2025-06-12,Shipped
860,860,2025-10-19,Shipped
861,861,2025-10-23,Shipped
862,862,2025-03-06,Shipped
863,863,2025-08-15,In Transit
864,864,2025-01-22,Shipped
865,865,2025-04-12,Shipped
866,866,2025-11-24,In Transit
867,867,2025-09-01,In Transit
868,868,2025-12-16,Shipped
869,869,2025-12-08,In Transit
870,870,2025-03-10,In Transit
871,871,2025-10-28,Delivered
872,872,2025-02-01,Delivered
